Industry Codes and Aggregations in the Industry Economic Accounts,,,,,,,,
"Estimates in the Industry Economic Accounts of the Bureau of Economic Analysis (BEA) are generally available at three levels of detail: sector (15 industry groups), summary (71 industry groups), and detail (389 industry groups).  For most data products, estimates at the detail level are available only for estimate year 2007 (due to the availability of detailed data from the 2007 Economic Census); however, estimates of gross output at the detail level are also available annually.  This table shows the relationship between these three levels of detail as well as how each level relates to the 2007 North American Industry Classification System (NAICS) code structure.",,,,,,,,
,,,,,,,,
BEA Code and Title,,,,Notes,Related 2007 NAICS Codes,,,
,GSLE,State and local government enterprises,,,,,,
,,,,,,,,
,,S00201,State and local government passenger transit,**,n/a,,,
,,S00202,State and local government electric utilities,**,n/a,,,
,,S00203,Other state and local government enterprises,,n/a,,,
,,,,,,,,
Used,"Scrap, used and secondhand goods",,,,,,,
,,,,,,,,
,Used,"Scrap, used and secondhand goods",,,,,,
,,,,,,,,
,,S00401,Scrap,††,n/a,,,
,,S00402,Used and secondhand goods,††,n/a,,,
,,,,,,,,
Other,Noncomparable imports and rest-of-the-world adjustment,,,,,,,
,,,,,,,,
,Other,Noncomparable imports and rest-of-the-world adjustment,,,,,,
,,,,,,,,
,,S00300,Noncomparable imports,††,n/a,,,
,,S00900,Rest of the world adjustment,††,n/a,,,
,,,,,,,,
"* Additional detail for the electric power generation, transmission, and distribution; wholesale trade; and other retail industries is available on an annual basis as part of the detailed gross output statistics.",,,,,,,,
"† Construction data published by BEA at the detail level do not align with 2007 NAICS industries.  In NAICS, industries are classified based on their production processes, whereas BEA construction is classified by type of structure.  For example, activity by the 2007 NAICS Roofing contractors industry would be split among many BEA construction categories because roofs are built on many types of structures.",,,,,,,,
"‡ Primary output of the ""secondary smelting and alloying of aluminum"" and ""alumina refining and primary aluminum production"" industries is treated as being identical and is reported as ""alumina refining and primary aluminum production"" for both industries.  As a result, ""secondary smelting and alloying of aluminum"" appears as an industry at the detail level but not as a commodity.",,,,,,,,
"** Where possible, the output of government enterprises is classified into the same commodity as the primary output of a comparable private industry.  All output of federal government electric utilities; state and local government passenger transit; and state and local electric utilities is classified in this way, with the result that these government enterprise categories appear as industries at the detail level but not as commodities.",,,,,,,,
†† The scrap; used and secondhand goods; noncomparable imports; and rest of the world adjustment lines identify special commodities which may appear in the commodity dimension of the make and use tables but which do not appear in the industry dimension.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
